datetime,instrument,score
2018-12-28,SH601901,-0.28859663
2018-12-28,SZ000783,0.25606108
2018-12-28,SH601066,0.046910465
2018-12-28,SZ002625,0.6485333
2018-12-28,SH600038,0.24381475
2018-12-28,SH600061,0.020550624
2018-12-28,SH600369,-0.40463796
2018-12-28,SZ000768,0.27946132
2018-12-28,SH600760,-0.16920736
2018-12-28,SH601212,0.7100012
2018-12-28,SZ002797,0.25319615
2018-12-28,SZ300251,0.23174323
2018-12-28,SH601919,0.26831958
2018-12-28,SH600372,0.10395717
2018-12-28,SH601377,0.21231711
2018-12-28,SH600893,0.09393947
2018-12-28,SH601818,0.22656414
2018-12-28,SZ000728,0.53060925
2018-12-28,SH600588,0.47775388
2018-12-28,SH601211,-0.063970186
2018-12-28,SH600909,0.37825912
2018-12-28,SH600958,0.20885864
2018-12-28,SH601766,0.15895946
2018-12-28,SZ000166,0.8846312
2018-12-28,SH601555,0.75401354
2018-12-28,SZ002736,0.35780948
2018-12-28,SH600705,0.24564967
2018-12-28,SH601989,0.87994874
2018-12-28,SH600489,0.35374075
2018-12-28,SH601688,0.6150804
2018-12-28,SH600109,0.71731675
2018-12-28,SH601788,0.6539614
2018-12-28,SH600837,0.6511079
2018-12-28,SZ002673,0.66936016
2018-12-28,SH601328,0.57670856
2018-12-28,SH601601,0.3721722
2018-12-28,SH600547,-0.12837009
2018-12-28,SH600029,0.31662306
2018-12-28,SH601878,0.42219058
2018-12-28,SH600739,0.6574086
2018-12-28,SH601881,0.6222924
2018-12-28,SH600118,0.17918852
2018-12-28,SH600048,0.52844596
2018-12-28,SZ002230,0.31085432
2018-12-28,SH600688,-0.12942544
2018-12-28,SZ002027,0.14936078
2018-12-28,SH601108,0.7098059
2018-12-28,SZ002493,0.4631563
2018-12-28,SH600111,0.2622241
2018-12-28,SH601198,0.06458878
2018-12-28,SZ000839,0.721609
2018-12-28,SH601229,-0.035493325
2018-12-28,SH600390,-0.2608499
2018-12-28,SZ000157,0.45454988
2018-12-28,SH600415,0.42448565
2018-12-28,SH601336,0.37883568
2018-12-28,SH600010,-0.00011377968
2018-12-28,SH601899,0.43096185
2018-12-28,SH600036,-0.23631868
2018-12-28,SH600019,0.572083
2018-12-28,SZ000625,0.16724338
2018-12-28,SZ300059,0.61012954
2018-12-28,SZ002179,0.8325375
2018-12-28,SZ300070,0.42613998
2018-12-28,SH600018,-0.31002128
2018-12-28,SH600816,0.5087835
2018-12-28,SH600000,-0.1909439
2018-12-28,SH600570,0.036294922
2018-12-28,SH600383,-0.26415655
2018-12-28,SH601628,-0.103546746
2018-12-28,SH601727,0.7609049
2018-12-28,SH600170,0.5237312
2018-12-28,SZ000001,0.3496764
2018-12-28,SH600999,0.61700046
2018-12-28,SH600900,-0.037411503
2018-12-28,SH601333,0.5932614
2018-12-28,SZ300033,0.8052295
2018-12-28,SH601117,-0.27714702
