datetime,instrument,score
2018-12-28,SZ000725,-0.042863265
2018-12-28,SZ000961,0.17009397
2018-12-28,SH601238,0.091673285
2018-12-28,SH601668,0.13396612
2018-12-28,SH601618,0.17883058
2018-12-28,SH600795,-0.03467358
2018-12-28,SH601398,0.11515822
2018-12-28,SZ002601,-0.07916195
2018-12-28,SZ002120,0.39877856
2018-12-28,SH600176,0.08405644
2018-12-28,SZ002081,0.32770965
2018-12-28,SH600886,0.19688469
2018-12-28,SZ002310,0.14231476
2018-12-28,SH600362,-0.04959403
2018-12-28,SH600637,0.119406864
2018-12-28,SH600023,0.2044262
2018-12-28,SZ001965,0.09732861
2018-12-28,SH600177,0.16793741
2018-12-28,SH600025,0.32645774
2018-12-28,SH600606,0.1766301
2018-12-28,SH600208,-0.016085833
2018-12-28,SH601800,-0.07713593
2018-12-28,SH600085,0.067122295
2018-12-28,SH600050,0.1825558
2018-12-28,SH600340,0.084687896
2018-12-28,SH601669,0.28744936
2018-12-28,SH603259,0.18629526
2018-12-28,SH601088,0.1946816
2018-12-28,SZ002508,0.1150938
2018-12-28,SH603858,-0.01578971
2018-12-28,SH600297,0.21636838
2018-12-28,SH601633,0.2885232
2018-12-28,SH600482,0.29250243
2018-12-28,SH600339,0.05713843
2018-12-28,SZ000826,0.18999504
2018-12-28,SH600690,0.017400399
2018-12-28,SZ300017,0.2579103
2018-12-28,SZ000703,-0.07317642
2018-12-28,SZ002468,0.32423246
2018-12-28,SZ000425,0.06080216
2018-12-28,SH600068,0.10020444
2018-12-28,SZ000333,0.087045014
2018-12-28,SH601138,0.20383796
2018-12-28,SH603160,0.29193994
2018-12-28,SZ000898,0.19335896
2018-12-28,SH600887,-0.032104757
2018-12-28,SZ000938,0.4774512
2018-12-28,SZ000627,-0.011824816
2018-12-28,SZ002236,0.033406153
2018-12-28,SZ000338,0.13900337
2018-12-28,SH603986,0.112762116
2018-12-28,SZ000408,0.07178515
2018-12-28,SZ300124,0.08580166
2018-12-28,SZ000983,0.11790471
2018-12-28,SZ002146,0.05453994
2018-12-28,SH600674,-0.12162958
2018-12-28,SH601006,0.14201799
2018-12-28,SZ002602,0.13291128
2018-12-28,SZ002572,0.23562822
2018-12-28,SZ300433,0.339396
2018-12-28,SH600271,0.24983889
2018-12-28,SZ000423,-0.066710174
2018-12-28,SZ000661,0.2010008
2018-12-28,SZ002415,0.38473582
2018-12-28,SH600004,0.057419688
2018-12-28,SH601808,0.30529785
2018-12-28,SH600009,-0.0060991943
2018-12-28,SH600188,0.37501183
2018-12-28,SZ002714,0.20539725
2018-12-28,SH600398,0.043713953
2018-12-28,SZ002044,0.2572345
2018-12-28,SH601021,0.29940605
2018-12-28,SH600031,0.10979217
2018-12-28,SH600519,-0.11798151
2018-12-28,SH600233,-0.048142105
2018-12-28,SH600977,0.12075345
2018-12-28,SH600157,0.01109229
2018-12-28,SH600703,0.14520009
2018-12-28,SZ002558,0.21451254
2018-12-28,SZ002241,0.23809361
2018-12-28,SZ300003,0.0056081116
2018-12-28,SH600516,0.25736755
2018-12-28,SH601360,0.39805782
2018-12-28,SZ000402,0.23562825
2018-12-28,SH600104,-0.16056284
2018-12-28,SH603833,0.24651234
2018-12-28,SZ002411,0.27895728
2018-12-28,SZ000858,-0.1193545
2018-12-28,SZ002153,0.18100505
2018-12-28,SZ300072,0.06719232
2018-12-28,SH600585,0.122815125
2018-12-28,SZ002065,-0.11544943
2018-12-28,SZ002001,0.054450214
2018-12-28,SZ002925,-0.03581975
2018-12-28,SZ000786,0.2600221
2018-12-28,SZ002594,0.07978084
2018-12-28,SH601992,0.25304943
2018-12-28,SZ000963,0.23182975
2018-12-28,SH601828,0.31994534
2018-12-28,SZ002304,0.06581365
2018-12-28,SH603260,0.033394538
2018-12-28,SH600196,0.16589591
2018-12-28,SZ000792,0.18667299
2018-12-28,SZ002311,0.30193585
2018-12-28,SH600011,0.16668653
2018-12-28,SZ300144,0.15981534
2018-12-28,SZ000538,0.20247126
2018-12-28,SH600332,0.38067216
2018-12-28,SZ300142,0.09905834
2018-12-28,SZ000503,-0.0074949637
2018-12-28,SZ002050,0.12370704
2018-12-28,SH600100,0.1220217
2018-12-28,SZ000895,0.22119401
2018-12-28,SH600309,0.22793096
2018-12-28,SH600809,0.054820985
2018-12-28,SH600027,0.049358793
2018-12-28,SZ002202,0.073470905
2018-12-28,SH600498,-0.006883204
2018-12-28,SH603288,0.11957735
2018-12-28,SH600660,0.13924563
2018-12-28,SZ002624,0.16486885
2018-12-28,SH600276,-0.018444803
2018-12-28,SZ002422,0.20593737
2018-12-28,SZ000568,-0.18311551
2018-12-28,SH600522,-0.092994034
2018-12-28,SH600535,-0.0021072775
2018-12-28,SZ000063,-0.06711829
2018-12-28,SZ002450,0.4819011
2018-12-28,SH600436,-0.057014637
2018-12-28,SH600487,0.16922253
2018-12-28,SH600438,0.27774462
2018-12-28,SH600566,0.012087632
2018-12-28,SH601877,0.042708233
2018-12-28,SZ002773,0.07970865
2018-12-28,SH601888,0.12072764
2018-12-28,SZ002475,0.32470638
2018-12-28,SZ002271,0.18895668
2018-12-28,SZ002456,0.27510798
2018-12-28,SH600741,0.13472559
2018-12-28,SH600352,0.035052024
2018-12-28,SZ002555,0.12868738
2018-12-28,SZ002008,0.23607564
2018-12-28,SZ300296,-0.3244624
2018-12-28,SZ300408,-0.47603434
2018-12-28,SZ002032,0.0025127754
2018-12-28,SZ300136,0.16779447
2018-12-28,SZ002252,-0.028277852
2018-12-28,SH600867,-0.5146172
2019-01-02,SH600369,-0.12714583
2019-01-02,SZ002797,0.027650902
2019-01-02,SH601878,0.32421422
2019-01-02,SZ000728,0.09622034
2019-01-02,SH601555,0.110361114
2019-01-02,SH600909,0.122086994
2019-01-02,SH600271,0.01959715
2019-01-02,SH601066,0.11239617
2019-01-02,SH601108,0.065248534
2019-01-02,SH600061,0.18197533
2019-01-02,SH601881,-0.06526059
2019-01-02,SZ000963,0.34957168
2019-01-02,SH601377,0.07001736
2019-01-02,SZ002252,0.08182434
2019-01-02,SH601788,-0.08001658
2019-01-02,SH601198,-0.023201
2019-01-02,SZ000783,0.017440096
2019-01-02,SH600109,-0.014398154
2019-01-02,SZ002736,0.21694475
2019-01-02,SZ300033,-0.120133966
2019-01-02,SZ002673,0.26224747
2019-01-02,SZ000776,0.26365337
2019-01-02,SH600958,0.12193938
2019-01-02,SH600837,0.32117766
2019-01-02,SZ000166,-0.0054594874
2019-01-02,SH601688,0.119376555
2019-01-02,SZ300059,0.028364778
2019-01-02,SZ002230,0.31519186
2019-01-02,SH600999,-0.06854361
2019-01-02,SH600816,0.13653563
2019-01-02,SH600276,0.29437542
2019-01-02,SH601211,0.2949205
2019-01-02,SZ300251,0.082607195
2019-01-02,SH600566,0.7847768
2019-01-02,SZ002555,0.120709375
2019-01-02,SZ002271,0.29402012
2019-01-02,SH600390,-0.053576857
2019-01-02,SZ002594,0.45375544
2019-01-02,SH600089,0.19388326
2019-01-02,SH600705,0.5942132
2019-01-02,SZ000001,0.21011248
2019-01-02,SH600588,0.2456781
2019-01-02,SZ002202,0.18390357
2019-01-02,SH600739,0.21755934
2019-01-02,SZ000503,0.58732724
2019-01-02,SH600027,0.10716157
2019-01-02,SH600570,0.08148067
2019-01-02,SZ002236,-0.0136708915
2019-01-02,SH601336,0.030533068
2019-01-02,SZ300122,-0.021650404
2019-01-02,SZ002714,0.16076623
2019-01-02,SZ002032,0.32082373
2019-01-02,SZ000961,0.15532714
2019-01-02,SH600111,0.26028228
2019-01-02,SH600704,0.20364182
2019-01-02,SZ000415,0.663051
2019-01-02,SZ002007,0.2255108
2019-01-02,SZ000402,0.6218047
2019-01-02,SH600340,0.13829277
2019-01-02,SH600977,0.03564617
2019-01-02,SH601611,0.18275759
2019-01-02,SH601601,0.39942926
2019-01-02,SH600196,0.4126323
2019-01-02,SH601989,0.11117138
2019-01-02,SZ002153,0.24312228
2019-01-02,SZ300015,0.36454582
2019-01-02,SZ300024,0.11890872
2019-01-02,SZ002773,-0.0065492094
2019-01-02,SH600383,-0.044509616
2019-01-02,SZ000002,0.20080791
2019-01-02,SZ002422,0.5842838
2019-01-02,SZ300070,0.042624474
2019-01-02,SZ002466,0.21828833
2019-01-02,SZ002625,0.18052301
2019-01-02,SH601155,-0.018499207
2019-01-02,SH600372,0.5491052
2019-01-02,SZ300003,0.20220597
2019-01-02,SZ002065,0.23183732
2019-01-02,SH600549,0.298086
2019-01-02,SH600309,0.0523972
2019-01-02,SH601838,0.07218067
2019-01-02,SZ000895,0.091351956
2019-01-02,SZ002001,0.60473454
2019-01-02,SZ000839,0.42398053
2019-01-02,SH600809,0.0053568035
2019-01-02,SZ002294,0.13156036
2019-01-02,SZ300296,0.07520419
2019-01-02,SH601186,0.15630732
2019-01-02,SZ002027,0.0033245087
2019-01-02,SZ000671,0.5917383
2019-01-02,SZ002310,-0.0047346503
2019-01-02,SZ002460,0.62355983
2019-01-02,SZ000625,0.24879678
2019-01-02,SZ002508,0.52566004
2019-01-02,SH603799,0.29841554
2019-01-02,SZ300017,0.1502093
2019-01-02,SZ002050,0.27003324
2019-01-02,SH600048,0.08457079
2019-01-02,SH600522,0.011300109
2019-01-02,SZ000826,0.35827115
2019-01-02,SZ000786,-0.011021465
2019-01-02,SZ000661,0.29654327
2019-01-02,SH600332,0.0027476214
2019-01-02,SH601997,0.074643984
2019-01-02,SH601012,0.4525261
2019-01-02,SZ001979,0.03845319
2019-01-02,SH603986,0.43818927
2019-01-02,SH600516,0.21221676
2019-01-02,SH603858,0.22175427
2019-01-02,SH600036,0.14816347
2019-01-02,SZ000069,0.12434212
2019-01-02,SZ002024,0.30986956
2019-01-02,SH600406,0.08053422
2019-01-02,SH600188,0.11908291
2019-01-02,SZ000413,-0.0005064234
2019-01-02,SZ002146,0.0545417
2019-01-02,SZ000938,0.07017326
2019-01-02,SH600487,-0.06408411
2019-01-02,SZ001965,0.1881347
2019-01-02,SH603993,0.32191116
2019-01-02,SH601818,0.19516206
2019-01-02,SZ002601,-0.014458749
2019-01-02,SH601166,0.188484
2019-01-02,SH603833,0.38049936
2019-01-02,SH600637,0.20640643
2019-01-02,SZ000627,0.08896284
2019-01-02,SZ002415,0.5939336
2019-01-02,SH600157,0.15356189
2019-01-02,SH601668,-0.005490407
2019-01-02,SH601360,-0.06667717
2019-01-02,SH601216,0.23713714
2019-01-02,SZ002456,0.04126662
2019-01-02,SH603260,0.028156236
2019-01-02,SZ000983,0.04012723
2019-01-02,SZ000063,0.24499027
2019-01-02,SZ000568,0.19976908
2019-01-02,SH601333,-0.043767937
2019-01-02,SH601009,0.26052433
2019-01-02,SZ000333,0.0039647818
2019-01-02,SZ002142,0.16181633
2019-01-02,SH601800,0.098556235
2019-01-02,SH600926,0.16349468
2019-01-02,SH601088,0.6796463
2019-01-02,SH601919,0.16012387
2019-01-02,SH601992,0.059815865
2019-01-02,SH600208,-0.004354926
2019-01-02,SH600029,0.11713067
2019-01-02,SH600436,-0.055960983
2019-01-02,SZ000553,0.21615799
2019-01-02,SZ000423,0.03536138
2019-01-02,SZ000630,0.04714527
2019-01-02,SH601669,0.4568508
2019-01-02,SH600519,0.13292705
2019-01-02,SZ000651,0.08751072
2019-01-02,SH600010,0.14697485
2019-01-02,SH600919,0.17768522
2019-01-02,SH601727,0.06852967
2019-01-02,SH600606,-0.114239946
2019-01-02,SH600177,0.7954037
2019-01-02,SH600016,-0.03874013
2019-01-02,SZ000725,0.29044172
2019-01-02,SH600233,0.13911292
2019-01-02,SZ000703,0.27763087
2019-01-02,SH600068,0.14266604
2019-01-02,SH600703,0.30758974
2019-01-02,SH601225,0.23744924
2019-01-02,SH600015,0.107708625
