datetime,instrument,score
2018-12-28,SH601901,0.29186124
2018-12-28,SZ000783,0.3068269
2018-12-28,SH601066,-0.20791002
2018-12-28,SZ002625,0.59908634
2018-12-28,SH600038,0.016715126
2018-12-28,SH600061,0.4001286
2018-12-28,SH600369,-0.13102552
2018-12-28,SZ000768,0.06887841
2018-12-28,SH600760,0.0734364
2018-12-28,SH601212,0.7869179
2018-12-28,SZ002797,0.071644515
2018-12-28,SZ300251,0.6610482
2018-12-28,SH601919,0.062042356
2018-12-28,SH600372,0.00668912
2018-12-28,SH601377,0.18330643
2018-12-28,SH600893,0.3811131
2018-12-28,SH601818,0.5000699
2018-12-28,SZ000728,0.37735516
2018-12-28,SH600588,0.3813114
2018-12-28,SH601211,-0.28133872
2018-12-28,SH600909,0.7489225
2018-12-28,SH600958,0.46387076
2018-12-28,SH601766,0.18530591
2018-12-28,SZ000166,0.7263734
2018-12-28,SH601555,0.7276063
2018-12-28,SZ002736,0.6241895
2018-12-28,SH600705,0.65309024
2018-12-28,SH601989,1.056044
2018-12-28,SH600489,-0.04611273
2018-12-28,SH601688,0.34071362
2018-12-28,SH600109,0.9890413
2018-12-28,SH601788,0.69657594
2018-12-28,SH600837,0.6017667
2018-12-28,SZ002673,0.88083375
2018-12-28,SH601328,0.3535031
2018-12-28,SH601601,0.43524304
2018-12-28,SH600547,0.18379866
2018-12-28,SH600029,0.53231883
2018-12-28,SH601878,0.5273054
2018-12-28,SH600739,0.7432192
2018-12-28,SH601881,0.85090935
2018-12-28,SH600118,0.6690139
2018-12-28,SH600048,0.5227672
2018-12-28,SZ002230,0.41447926
2018-12-28,SH600688,0.16736545
2018-12-28,SZ002027,0.022142954
2018-12-28,SH601108,0.8415344
2018-12-28,SZ002493,0.6558889
2018-12-28,SH600111,0.34731317
2018-12-28,SH601198,0.08300562
2018-12-28,SZ000839,0.7166034
2018-12-28,SH601229,-0.12690948
2018-12-28,SH600390,-0.05721905
2018-12-28,SZ000157,0.5320388
2018-12-28,SH600415,0.45920867
2018-12-28,SH601336,0.6846923
2018-12-28,SH600010,0.23527244
2018-12-28,SH601899,0.46093345
2018-12-28,SH600036,0.007573709
2018-12-28,SH600019,0.5601922
2018-12-28,SZ000625,0.44959605
2018-12-28,SZ300059,0.67184424
2018-12-28,SZ002179,0.744976
2018-12-28,SZ300070,0.6328305
2018-12-28,SH600018,0.2476711
2018-12-28,SH600816,0.7524194
2018-12-28,SH600000,0.11609404
2018-12-28,SH600570,0.068321176
2018-12-28,SH600383,0.16898666
2018-12-28,SH601628,-0.07040299
2018-12-28,SH601727,0.70991415
2018-12-28,SH600170,0.58779806
2018-12-28,SZ000001,0.36268046
2018-12-28,SH600999,0.6786879
2018-12-28,SH600900,0.2127987
2018-12-28,SH601333,0.61197376
2018-12-28,SZ300033,0.8803608
2018-12-28,SH601117,-0.1407299
2018-12-28,SH601607,0.41988385
2018-12-28,SH601318,0.57720715
2018-12-28,SH601169,0.089790195
2018-12-28,SH601898,0.3426729
2018-12-28,SZ000415,-0.12829153
2018-12-28,SH603993,0.62951744
2018-12-28,SZ000100,0.091862425
2018-12-28,SZ000959,0.009050775
2018-12-28,SH601166,0.38062564
2018-12-28,SZ002007,0.056879483
2018-12-28,SZ000776,-0.15977126
2018-12-28,SZ300015,0.011742458
2018-12-28,SH601390,0.36923566
2018-12-28,SZ000002,0.6718824
2018-12-28,SH601857,0.49402156
2018-12-28,SZ002142,0.45294678
2018-12-28,SH600926,-0.11370744
2018-12-28,SH600066,0.4040174
2018-12-28,SH600704,0.18853816
2018-12-28,SH601012,0.29534087
2018-12-28,SH601009,0.14876164
2018-12-28,SZ300024,0.76018107
2018-12-28,SH601018,-0.038749486
2018-12-28,SH600028,0.43669352
2018-12-28,SZ001979,0.010934528
2018-12-28,SZ000671,0.020500392
2018-12-28,SH601600,0.61470747
2018-12-28,SH601288,0.8386478
2018-12-28,SZ002466,0.5718897
2018-12-28,SH600015,-0.14110145
2018-12-28,SH600221,-0.11318332
2018-12-28,SZ000630,0.33648965
2018-12-28,SH600549,-0.104163125
2018-12-28,SH600919,-0.0137279555
2018-12-28,SH601838,0.5385837
2018-12-28,SH601186,0.08787553
2018-12-28,SH601611,-0.4776837
